id;profession;createdAt;updatedAt
115;аппаратчик дефекосатурации свекловичного сока;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
116;аппаратчик диазотирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
117;аппаратчик димеризации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
118;аппаратчик диспергирования пигментов и красителей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
119;аппаратчик диспергирования щелочных металлов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
120;аппаратчик диспропорционирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
121;аппаратчик диффузии;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
122;аппаратчик дозирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
123;аппаратчик дозревания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
124;аппаратчик дубления (кожевенное и кожсырьевое производство);2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
125;аппаратчик дубления (меховое производство);2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
126;аппаратчик дубления и сушки белковой оболочки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
127;аппаратчик енолизации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
128;аппаратчик желатинизации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
129;аппаратчик жироочистки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
130;аппаратчик замораживания эндокринно-ферментного сырья;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
131;аппаратчик запаривания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
132;аппаратчик запаривания одонков;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
133;аппаратчик золения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
134;аппаратчик золки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
135;аппаратчик извлечения побочных продуктов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
136;аппаратчик изготовления армированных прессовочных материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
137;аппаратчик изготовления баритмассы;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
138;аппаратчик изготовления искусственного шеелита;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
139;аппаратчик изготовления нетканных стекловолокнистых материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
140;аппаратчик изготовления ориентированной пленки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
141;аппаратчик изготовления пленочных материалов методом полива;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
142;аппаратчик изготовления резиновых нитей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
143;аппаратчик изготовления термопасты;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
144;аппаратчик измельчения и предсозревания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
145;аппаратчик изомеризации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
146;аппаратчик имидирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
147;аппаратчик ионного обмена;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
148;аппаратчик ионообменной очистки глицерина;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
149;аппаратчик ионообменной очистки химико-фармацевтических препаратов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
150;аппаратчик испарения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
151;аппаратчик испарительной установки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
152;аппаратчик йодирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
153;аппаратчик калибровки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
154;аппаратчик карбидизации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
155;аппаратчик карбонизации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
156;аппаратчик каустификации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
157;аппаратчик кислотной обработки спилка;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
158;аппаратчик коагуляции;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
159;аппаратчик коконозапарочной машины;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
160;аппаратчик комбикормового производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
161;аппаратчик комплексной установки (по производству эмульсионных взрывчатых веществ);2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
